Roll_Number,Character_Name,Character_Seed,Term,Event_Type,Action_Description,Roll_Result,Target_Number,Modifier,Modifier_Details,Total_Roll,Success,Outcome,Career_At_Time
SUMMARY,Atlas Flux,1729,Final Age: 30,Career: Army,Terms Served: 3,UPP: 998A9A,,,,,,,
1,Atlas Flux,1729,1,enlistment_attempt,Enlistment (Army),6,5,3,Dexterity 9≥6 (+1); Endurance 8≥5 (+2),9,Yes,Enlisted in Army,Army
2,Atlas Flux,1729,1,survival_check,Survival,7,5,2,Education 9≥6 (+2),9,Yes,Survived,Army
3,Atlas Flux,1729,1,commission_check,Commission,5,5,1,Endurance 8≥7 (+1),6,Yes,Commissioned (Rank 1),Army
4,Atlas Flux,1729,1,promotion_check,Promotion,8,6,1,Education 9≥7 (+1),9,Yes,Promoted to Rank 2,Army
5,Atlas Flux,1729,1,skill_resolution,Skill Roll,3,,0,,3,No,Gained: +1 END,Army
6,Atlas Flux,1729,1,skill_resolution,Skill Roll,2,,0,,2,No,Gained: +1 DEX,Army
7,Atlas Flux,1729,1,skill_resolution,Skill Roll,2,,0,,2,No,Gained: Air/Raft,Army
8,Atlas Flux,1729,1,skill_resolution,Skill Roll,6,,0,,6,No,Gained: Admin,Army
9,Atlas Flux,1729,2,reenlistment_attempt,Reenlistment,9,7,0,,9,No,reenlisted,Army
10,Atlas Flux,1729,2,survival_check,Survival,6,5,2,Education 9≥6 (+2),8,Yes,Survived,Army
11,Atlas Flux,1729,2,promotion_check,Promotion,7,6,1,Education 9≥7 (+1),8,Yes,Promoted to Rank 3,Army
12,Atlas Flux,1729,2,skill_resolution,Skill Roll,4,,0,,4,No,Gained: Gambling,Army
13,Atlas Flux,1729,2,skill_resolution,Skill Roll,3,,0,,3,No,Gained: Tactics,Army
14,Atlas Flux,1729,3,reenlistment_attempt,Reenlistment,12,7,0,,12,No,retained (mandatory),Army
15,Atlas Flux,1729,3,survival_check,Survival,10,5,2,Education 9≥6 (+2),12,Yes,Survived,Army
16,Atlas Flux,1729,3,promotion_check,Promotion,8,6,1,Education 9≥7 (+1),9,Yes,Promoted to Rank 4,Army
17,Atlas Flux,1729,3,skill_resolution,Skill Roll,5,,0,,5,No,Gained: Leader,Army
18,Atlas Flux,1729,3,skill_resolution,Skill Roll,2,,0,,2,No,Gained: Tactics,Army
19,Atlas Flux,1729,3,reenlistment_attempt,Reenlistment,5,7,0,,5,No,military discharge,Army
20,Atlas Flux,1729,3,mustering_out_cash_roll,Mustering Out (Cash),5,,1,Gambling skill (+1),6,No,"Received Cr20,000",Army
21,Atlas Flux,1729,3,mustering_out_benefit_roll,Mustering Out (Benefit),1,,0,,1,No,Received: Low Psg,Army
22,Atlas Flux,1729,3,mustering_out_benefit_roll,Mustering Out (Benefit),6,,0,,6,No,Received: Mid Psg,Army
23,Atlas Flux,1729,3,mustering_out_benefit_roll,Mustering Out (Benefit),5,,0,,5,No,Received: High Psg,Army
24,Atlas Flux,1729,3,mustering_out_benefit_roll,Mustering Out (Benefit),1,,0,,1,No,Received: Low Psg,Army
